DemVotes,RepVotes,TotalVotes,DemVotesTotalPercent,RepVotesTotalPercent,Area,Office,State
93003,130413,246588,37.7159472,52.8870018,ALASKA,President,Alaska
5908,18110,24661,23.956855,73.4357893,AUTAUGA,President,Alabama
18409,72780,94090,19.5653098,77.351472,BALDWIN,President,Alabama
4848,5431,10390,46.6602502,52.2714148,BARBOUR,President,Alabama
1874,6733,8748,21.4220393,76.9661637,BIBB,President,Alabama
2150,22808,25384,8.4699023,89.8518752,BLOUNT,President,Alabama
3530,1139,4701,75.0904063,24.2288875,BULLOCK,President,Alabama
3716,4891,8685,42.7864134,56.3154865,BUTLER,President,Alabama
13197,32803,47376,27.8558764,69.2396994,CALHOUN,President,Alabama
5763,7803,13778,41.8275512,56.633764,CHAMBERS,President,Alabama
1524,8809,10503,14.51014,83.8712749,CHEROKEE,President,Alabama
2909,15068,18255,15.9353602,82.5417694,CHILTON,President,Alabama
3109,4102,7268,42.7765548,56.4391855,CHOCTAW,President,Alabama
5712,7109,12936,44.1558442,54.9551639,CLARKE,President,Alabama
1234,5230,6572,18.7766281,79.5800365,CLAY,President,Alabama
684,5738,6532,10.4715248,87.8444581,CLEBURNE,President,Alabama
4194,15825,20513,20.4455711,77.1462,COFFEE,President,Alabama
7296,16718,24626,29.6272233,67.8875985,COLBERT,President,Alabama
3069,3413,6543,46.9050894,52.1626165,CONECUH,President,Alabama
1780,3376,5223,34.0800306,64.6371817,COOSA,President,Alabama
2379,13222,15818,15.039828,83.5883171,COVINGTON,President,Alabama
1663,4511,6252,26.5994882,72.1529111,CRENSHAW,President,Alabama
3730,32734,37278,10.0059016,87.8105049,CULLMAN,President,Alabama
4408,13798,18617,23.6772842,74.1150561,DALE,President,Alabama
12826,5784,18730,68.4783769,30.8809397,DALLAS,President,Alabama
3682,21779,26086,14.1148509,83.4892279,DEKALB,President,Alabama
8436,27619,36905,22.8586912,74.8380978,ELMORE,President,Alabama
4698,10282,15213,30.8814829,67.5869322,ESCAMBIA,President,Alabama
10350,32132,43474,23.8073331,73.9108433,ETOWAH,President,Alabama
1358,6705,8196,16.5690581,81.8081991,FAYETTE,President,Alabama
2197,9466,11955,18.377248,79.1802593,FRANKLIN,President,Alabama
1522,9967,11659,13.0542928,85.4876061,GENEVA,President,Alabama
4006,838,4862,82.3940765,17.2357055,GREENE,President,Alabama
4772,3172,8010,59.5755306,39.6004994,HALE,President,Alabama
2286,5623,8017,28.5144069,70.1384558,HENRY,President,Alabama
10547,30567,42030,25.0939805,72.7266238,HOUSTON,President,Alabama
3663,16643,20785,17.623286,80.0721674,JACKSON,President,Alabama
151581,130614,290111,52.2493115,45.0220778,JEFFERSON,President,Alabama
1035,5819,6931,14.9329101,83.9561391,LAMAR,President,Alabama
9877,27735,38813,25.4476593,71.4580166,LAUDERDALE,President,Alabama
3611,10732,14623,24.6939752,73.391233,LAWRENCE,President,Alabama
20987,34321,57668,36.3928002,59.5148089,LEE,President,Alabama
9340,28824,39400,23.7055838,73.1573604,LIMESTONE,President,Alabama
4882,1751,6676,73.1276213,26.2282804,LOWNDES,President,Alabama
7237,1394,8748,82.7274806,15.9350709,MACON,President,Alabama
62435,89199,159473,39.150828,55.9336063,MADISON,President,Alabama
5607,5224,10948,51.2148338,47.7164779,MARENGO,President,Alabama
1432,11273,12912,11.0904585,87.3063817,MARION,President,Alabama
4913,29217,34965,14.0511941,83.5607036,MARSHALL,President,Alabama
68429,91087,163387,41.881545,55.7492334,MOBILE,President,Alabama
4310,5771,10185,42.317133,56.6617575,MONROE,President,Alabama
58669,33928,94572,62.0363321,35.8753119,MONTGOMERY,President,Alabama
11216,37392,49991,22.4360385,74.7974635,MORGAN,President,Alabama
3823,1403,5255,72.7497621,26.6983825,PERRY,President,Alabama
3972,5454,9494,41.8369497,57.4468085,PICKENS,President,Alabama
5039,7681,13025,38.6871401,58.9712092,PIKE,President,Alabama
2290,7697,10130,22.6061204,75.982231,RANDOLPH,President,Alabama
9577,9210,19136,50.0470318,48.1291806,RUSSELL,President,Alabama
22927,72846,99208,23.1100314,73.4275462,SHELBY,President,Alabama
5550,31579,37937,14.6295174,83.2406358,ST. CLAIR,President,Alabama
4739,1581,6391,74.1511501,24.7379127,SUMTER,President,Alabama
12108,20596,33218,36.4501174,62.0025287,TALLADEGA,President,Alabama
5271,12967,18504,28.4857328,70.0767402,TALLAPOOSA,President,Alabama
31746,47701,81708,38.8529887,58.3798404,TUSCALOOSA,President,Alabama
4486,24208,29243,15.3404233,82.7822043,WALKER,President,Alabama
2366,6031,8492,27.8615167,71.0197833,WASHINGTON,President,Alabama
4329,1737,6095,71.0254307,28.4987695,WILCOX,President,Alabama
871,9225,10255,8.4934178,89.956119,WINSTON,President,Alabama
1939,3825,6167,31.4415437,62.0236744,ARKANSAS,President,Arkansas
2408,5338,8027,29.9987542,66.5005606,ASHLEY,President,Arkansas
4163,14655,19572,21.2701819,74.8773758,BAXTER,President,Arkansas
27894,60751,94262,29.5919883,64.4490887,BENTON,President,Arkansas
2925,12225,15912,18.3823529,76.8288084,BOONE,President,Arkansas
1317,2163,3617,36.4113907,59.80094,BRADLEY,President,Arkansas
636,1554,2250,28.2666667,69.0666667,CALHOUN,President,Arkansas
3334,6773,10656,31.2875375,63.5604354,CARROLL,President,Arkansas
2350,1716,4149,56.6401543,41.3593637,CHICOT,President,Arkansas
3606,4398,8365,43.1081889,52.5762104,CLARK,President,Arkansas
1999,3779,5978,33.4392774,63.2151221,CLAY,President,Arkansas
2101,9454,11968,17.5551471,78.993984,CLEBURNE,President,Arkansas
723,2460,3299,21.915732,74.5680509,CLEVELAND,President,Arkansas
3140,5456,8837,35.5324205,61.7404096,COLUMBIA,President,Arkansas
2655,4844,7837,33.8777593,61.8093658,CONWAY,President,Arkansas
10474,22798,34968,29.9531,65.1967513,CRAIGHEAD,President,Arkansas
4476,16655,22155,20.2031144,75.1749041,CRAWFORD,President,Arkansas
8368,6953,15798,52.9687302,44.0119002,CRITTENDEN,President,Arkansas
1995,4577,6831,29.2050944,67.003367,CROSS,President,Arkansas
1165,1507,2741,42.5027362,54.9799343,DALLAS,President,Arkansas
2227,1915,4226,52.6975864,45.3147184,DESHA,President,Arkansas
2364,3967,6552,36.0805861,60.546398,DREW,President,Arkansas
14525,29170,46364,31.3281857,62.9151928,FAULKNER,President,Arkansas
1376,5034,6698,20.5434458,75.1567632,FRANKLIN,President,Arkansas
1067,3470,4744,22.4915683,73.1450253,FULTON,President,Arkansas
12283,26053,40337,30.4509507,64.5883432,GARLAND,President,Arkansas
1407,5160,6855,20.5251641,75.273523,GRANT,President,Arkansas
3056,10698,14422,21.1898488,74.1783386,GREENE,President,Arkansas
2371,4391,6984,33.9490263,62.8722795,HEMPSTEAD,President,Arkansas
3137,8153,11815,26.5509945,69.0055015,HOT SPRING,President,Arkansas
1350,3155,4634,29.1324989,68.083729,HOWARD,President,Arkansas
2878,9925,13443,21.4089117,73.8302462,INDEPENDENCE,President,Arkansas
1111,4042,5396,20.5893254,74.9073388,IZARD,President,Arkansas
1583,3262,5093,31.0818771,64.0486943,JACKSON,President,Arkansas
15721,9231,25683,61.2116965,35.9420628,JEFFERSON,President,Arkansas
2421,6072,8997,26.9089697,67.4891631,JOHNSON,President,Arkansas
1028,1750,2835,36.2610229,61.7283951,LAFAYETTE,President,Arkansas
1263,4064,5629,22.4373779,72.1975484,LAWRENCE,President,Arkansas
1735,1229,3004,57.7563249,40.9121172,LEE,President,Arkansas
1252,2455,3814,32.8264289,64.3681175,LINCOLN,President,Arkansas
1397,3604,5192,26.9067797,69.4144838,LITTLE RIVER,President,Arkansas
1712,5737,7839,21.8395203,73.1853553,LOGAN,President,Arkansas
5638,19902,26766,21.0640365,74.3555257,LONOKE,President,Arkansas
1587,4917,6782,23.4001769,72.5007372,MADISON,President,Arkansas
1377,5077,6718,20.4971718,75.5730872,MARION,President,Arkansas
4273,11293,16015,26.6812363,70.5151421,MILLER,President,Arkansas
5621,6988,12995,43.2550981,53.7745287,MISSISSIPPI,President,Arkansas
1298,1400,2766,46.9269704,50.6146059,MONROE,President,Arkansas
735,2573,3445,21.3352685,74.6879536,MONTGOMERY,President,Arkansas
1156,2001,3233,35.7562635,61.8929787,NEVADA,President,Arkansas
699,2875,3731,18.7349236,77.0570893,NEWTON,President,Arkansas
4320,5347,9881,43.7202712,54.1139561,OUACHITA,President,Arkansas
1035,2979,4213,24.566817,70.709708,PERRY,President,Arkansas
4292,2443,6894,62.2570351,35.4366115,PHILLIPS,President,Arkansas
684,3150,3956,17.2901921,79.6258847,PIKE,President,Arkansas
1878,3149,5283,35.5479841,59.6062843,POINSETT,President,Arkansas
1210,6606,8121,14.8996429,81.344662,POLK,President,Arkansas
4818,15694,21545,22.3624971,72.842887,POPE,President,Arkansas
812,2503,3404,23.8542891,73.5311398,PRAIRIE,President,Arkansas
89377,61182,157728,56.6652719,38.7895618,PULASKI,President,Arkansas
1425,4508,6313,22.5724695,71.4082053,RANDOLPH,President,Arkansas
13247,35852,51971,25.4892151,68.984626,SALINE,President,Arkansas
507,2378,3017,16.804773,78.8200199,SCOTT,President,Arkansas
601,2955,3698,16.2520281,79.9080584,SEARCY,President,Arkansas
12184,28769,43557,27.9725417,66.0490851,SEBASTIAN,President,Arkansas
1075,3281,4517,23.7989816,72.6367058,SEVIER,President,Arkansas
1472,5405,7190,20.472879,75.1738526,SHARP,President,Arkansas
4031,3195,7412,54.3847814,43.1057744,ST. FRANCIS,President,Arkansas
1189,4081,5527,21.5125746,73.8375249,STONE,President,Arkansas
5667,10201,16338,34.6860081,62.4372628,UNION,President,Arkansas
1547,5382,7111,21.7550274,75.6855576,VAN BUREN,President,Arkansas
32296,40418,78153,41.3240695,51.7165048,WASHINGTON,President,Arkansas
5157,21038,27451,18.7862009,76.6383738,WHITE,President,Arkansas
1117,1344,2550,43.8039216,52.7058824,WOODRUFF,President,Arkansas
1472,4600,6389,23.0395993,71.9987478,YELL,President,Arkansas
12196,5315,18659,65.3625596,28.4849134,APACHE,President,Arizona
15291,25036,43147,35.4393121,58.0248916,COCHISE,President,Arizona
25308,16573,44929,56.3288744,36.8870885,COCONINO,President,Arizona
6746,13672,21398,31.5263109,63.8938219,GILA,President,Arizona
3301,8025,11939,27.6488818,67.2166848,GRAHAM,President,Arizona
1092,1892,3243,33.6725254,58.3410422,GREENLEE,President,Arizona
1318,3381,4931,26.7288582,68.5662137,LA PAZ,President,Arizona
549040,590465,1201934,45.6797129,49.1262415,MARICOPA,President,Arizona
16485,54656,74189,22.2202752,73.671299,MOHAVE,President,Arizona
15362,18165,35409,43.3844503,51.3005168,NAVAJO,President,Arizona
195649,147019,360762,54.2321531,40.752352,PIMA,President,Arizona
35737,53857,93805,38.0971164,57.4137839,PINAL,President,Arizona
10684,3650,14926,71.5797936,24.4539729,SANTA CRUZ,President,Arizona
29705,58862,92780,32.0165984,63.4425523,YAVAPAI,President,Arizona
18336,20586,40759,44.9863834,50.5066366,YUMA,President,Arizona
486351,91189,613195,79.3142475,14.8711258,ALAMEDA,President,California
318,211,575,55.3043478,36.6956522,ALPINE,President,California
5904,10239,17186,34.3535436,59.5775631,AMADOR,President,California
38676,42193,87847,44.0265462,48.0300978,BUTTE,President,California
7738,13072,22334,34.646727,58.5295961,CALAVERAS,President,California
2659,3551,6594,40.3245375,53.8519867,COLUSA,President,California
286658,105819,415972,68.9128114,25.4389719,CONTRA COSTA,President,California
3485,5134,9361,37.2289285,54.8445679,DEL NORTE,President,California
35243,47633,89228,39.4976913,53.3834671,EL DORADO,President,California
123660,113949,250264,49.4118211,45.5315187,FRESNO,President,California
3065,5788,9379,32.6793901,61.7123361,GLENN,President,California
19596,10883,33636,58.2590082,32.3552147,HUMBOLDT,President,California
28467,11295,41751,68.182798,27.0532442,IMPERIAL,President,California
3155,4248,7996,39.4572286,53.1265633,INYO,President,California
86481,119164,217725,39.7202894,54.7314273,KERN,President,California
12902,17446,32250,40.0062016,54.096124,KINGS,President,California
6240,5752,13045,47.8344193,44.0935224,LAKE,President,California
2224,7574,10422,21.3394742,72.6731913,LASSEN,President,California
1893770,620285,2652072,71.4071865,23.3886938,LOS ANGELES,President,California
13283,19221,34263,38.767767,56.0984152,MADERA,President,California
86650,17531,109941,78.8150008,15.9458255,MARIN,President,California
3122,5185,8877,35.1695393,58.4093725,MARIPOSA,President,California
6905,3571,11435,60.3847836,31.2286839,MENDOCINO,President,California
21856,18486,42523,51.3980669,43.4729441,MERCED,President,California
798,2413,3359,23.7570706,71.8368562,MODOC,President,California
2696,2080,5154,52.3088863,40.3570043,MONO,President,California
