"Office","State","RaceDate","CensusPop","Area","AreaType","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes","TitleNotes","OtherNotes"
"Governor","Illinois","20061107","N/A","ADAMS","County","11,855","Topinka, Judy Baar","Challenger","7,546","Blagojevich, Rod R.","Incumbent","Green","2,155","Whitney, Rich","Challenger","293","4,309","R","9.86","61.11","38.89","","",""
"Governor","Illinois","20061107","N/A","ALEXANDER","County","719","Topinka, Judy Baar","Challenger","2,005","Blagojevich, Rod R.","Incumbent","Green","245","Whitney, Rich","Challenger","4","1,286","D","8.24","26.40","73.60","","",""
"Governor","Illinois","20061107","N/A","BOND","County","3,057","Topinka, Judy Baar","Challenger","2,341","Blagojevich, Rod R.","Incumbent","Green","305","Whitney, Rich","Challenger","138","716","R","5.22","56.63","43.37","","",""
"Governor","Illinois","20061107","N/A","BOONE","County","5,775","Topinka, Judy Baar","Challenger","5,899","Blagojevich, Rod R.","Incumbent","Green","3,392","Whitney, Rich","Challenger","144","124","D","22.30","49.47","50.53","","",""
"Governor","Illinois","20061107","N/A","BROWN","County","1,174","Topinka, Judy Baar","Challenger","697","Blagojevich, Rod R.","Incumbent","Green","160","Whitney, Rich","Challenger","32","477","R","7.76","62.75","37.25","","",""
"Governor","Illinois","20061107","N/A","BUREAU","County","5,384","Topinka, Judy Baar","Challenger","4,877","Blagojevich, Rod R.","Incumbent","Green","1,734","Whitney, Rich","Challenger","38","507","R","14.41","52.47","47.53","","",""
"Governor","Illinois","20061107","N/A","CALHOUN","County","1,018","Topinka, Judy Baar","Challenger","1,280","Blagojevich, Rod R.","Incumbent","Green","86","Whitney, Rich","Challenger","1","262","D","3.61","44.30","55.70","","",""
"Governor","Illinois","20061107","N/A","CARROLL","County","2,997","Topinka, Judy Baar","Challenger","2,372","Blagojevich, Rod R.","Incumbent","Green","534","Whitney, Rich","Challenger","63","625","R","8.95","55.82","44.18","","",""
"Governor","Illinois","20061107","N/A","CASS","County","2,374","Topinka, Judy Baar","Challenger","1,635","Blagojevich, Rod R.","Incumbent","Green","424","Whitney, Rich","Challenger","74","739","R","9.41","59.22","40.78","","",""
"Governor","Illinois","20061107","N/A","CHAMPAIGN","County","27,878","Topinka, Judy Baar","Challenger","15,141","Blagojevich, Rod R.","Incumbent","Green","8,855","Whitney, Rich","Challenger","281","12,737","R","16.98","64.80","35.20","","",""
"Governor","Illinois","20061107","N/A","CHRISTIAN","County","6,111","Topinka, Judy Baar","Challenger","4,162","Blagojevich, Rod R.","Incumbent","Green","1,224","Whitney, Rich","Challenger","88","1,949","R","10.57","59.49","40.51","","",""
"Governor","Illinois","20061107","N/A","CLARK","County","3,372","Topinka, Judy Baar","Challenger","1,917","Blagojevich, Rod R.","Incumbent","Green","318","Whitney, Rich","Challenger","49","1,455","R","5.62","63.75","36.25","","",""
"Governor","Illinois","20061107","N/A","CLAY","County","2,880","Topinka, Judy Baar","Challenger","1,553","Blagojevich, Rod R.","Incumbent","Green","338","Whitney, Rich","Challenger","58","1,327","R","7.00","64.97","35.03","","",""
