state,county,total_pop,white,black,latino,non_white,pct_white,pct_nonwhite,pct_latino
Alabama,AUTAUGA,43671,34823,7428,610,8848,0.797394152,0.202605848,0.01396808
Alabama,BALDWIN,140415,120868,14357,2466,19547,0.860791226,0.139208774,0.017562226
Alabama,BARBOUR,29038,14788,13369,478,14250,0.509263723,0.490736277,0.016461189
Alabama,BIBB,20826,15870,4584,210,4956,0.762028234,0.237971766,0.010083549
Alabama,BLOUNT,51024,46999,598,2718,4025,0.921115553,0.078884447,0.05326905
Alabama,BULLOCK,11714,2764,8486,322,8950,0.235956975,0.764043025,0.027488475
Alabama,BUTLER,21399,12429,8671,143,8970,0.580821534,0.419178466,0.006682555
Alabama,CALHOUN,112249,87598,20725,1753,24651,0.780390026,0.219609974,0.015617066
Alabama,CHAMBERS,36583,22111,13872,280,14472,0.604406418,0.395593582,0.007653828
Alabama,CHEROKEE,23988,22164,1327,204,1824,0.923961981,0.076038019,0.008504252
Alabama,CHILTON,39593,33897,4131,1152,5696,0.856136186,0.143863814,0.029096052
Alabama,CHOCTAW,15922,8724,6985,107,7198,0.547921115,0.452078885,0.006720261
Alabama,CLARKE,27867,15519,11918,180,12348,0.556895252,0.443104748,0.006459253
Alabama,CLAY,14254,11616,2219,253,2638,0.814929143,0.185070857,0.017749404
Alabama,CLEBURNE,14123,13235,521,198,888,0.937123841,0.062876159,0.014019684
Alabama,COFFEE,43615,32971,7950,1183,10644,0.75595552,0.24404448,0.027123696
Alabama,COLBERT,54984,44470,9096,618,10514,0.808780736,0.191219264,0.011239633
Alabama,CONECUH,14089,7760,6091,102,6329,0.5507843,0.4492157,0.007239691
Alabama,COOSA,12202,7742,4147,158,4460,0.63448615,0.36551385,0.012948697
Alabama,COVINGTON,37631,32247,4618,292,5384,0.85692647,0.14307353,0.00775956
Alabama,CRENSHAW,13665,10042,3369,87,3623,0.734870106,0.265129894,0.00636663
Alabama,CULLMAN,77483,73940,726,1688,3543,0.954273841,0.045726159,0.021785424
Alabama,DALE,49129,35771,9902,1642,13358,0.728103564,0.271896436,0.033422215
Alabama,DALLAS,46365,16417,29201,290,29948,0.354081743,0.645918257,0.006254718
Alabama,DEKALB,64452,58436,1064,3578,6016,0.906659219,0.093340781,0.055514181
Alabama,ELMORE,65874,50376,13505,805,15498,0.764732671,0.235267329,0.012220299
Alabama,ESCAMBIA,38440,24575,11799,379,13865,0.639308012,0.360691988,0.009859521
Alabama,ETOWAH,103459,84919,15120,1763,18540,0.820798577,0.179201423,0.017040567
Alabama,FAYETTE,18495,15994,2199,152,2501,0.864774263,0.135225737,0.008218437
Alabama,FRANKLIN,31223,27268,1307,2316,3955,0.873330558,0.126669442,0.074176088
Alabama,GENEVA,25764,22181,2725,453,3583,0.86092998,0.13907002,0.017582673
Alabama,GREENE,9974,1898,7964,58,8076,0.190294766,0.809705234,0.005815119
Alabama,HALE,17185,6803,10074,157,10382,0.39586849,0.60413151,0.009135874
Alabama,HENRY,16310,10647,5247,249,5663,0.6527897,0.3472103,0.015266708
Alabama,HOUSTON,88787,64312,21703,1122,24475,0.724340275,0.275659725,0.012636985
Alabama,JACKSON,53926,49200,2002,610,4726,0.912361384,0.087638616,0.011311798
Alabama,JEFFERSON,662047,379707,259623,10284,282340,0.573534809,0.426465191,0.01553364
Alabama,LAMAR,15904,13695,1899,207,2209,0.861104125,0.138895875,0.013015594
Alabama,LAUDERDALE,87966,77240,8624,894,10726,0.878066526,0.121933474,0.010163018
