state,county,total_pop,white,black,latino,non_white,pct_white,pct_nonwhite,pct_latino
Alabama,ETOWAH,104317,82700,15704,3503,21617,0.792775866,0.207224134,0.033580337
Alabama,FAYETTE,17219,14775,1937,213,2444,0.858063767,0.141936233,0.012370056
Alabama,FRANKLIN,31664,25283,1288,4649,6381,0.798477767,0.201522233,0.14682289
Alabama,GENEVA,26769,22640,2576,899,4129,0.845754417,0.154245583,0.033583623
Alabama,GREENE,9067,1608,7421,0,7459,0.177346421,0.822653579,0
Alabama,HALE,15750,6241,9312,66,9509,0.396253968,0.603746032,0.004190476
Alabama,HENRY,17275,11676,4790,389,5599,0.675890014,0.324109986,0.02251809
Alabama,HOUSTON,101459,69571,25997,2950,31888,0.685705556,0.314294444,0.029075784
Alabama,JACKSON,53279,47986,1770,1334,5293,0.900655042,0.099344958,0.025038007
Alabama,JEFFERSON,658464,340382,276695,24770,318082,0.516933348,0.483066652,0.03761785
Alabama,LAMAR,14513,12478,1728,186,2035,0.859780886,0.140219114,0.012816096
Alabama,LAUDERDALE,92528,79132,9322,2065,13396,0.855222203,0.144777797,0.022317569
Alabama,LAWRENCE,34148,26187,3797,601,7961,0.766867752,0.233132248,0.017599859
Alabama,LEE,140938,98181,31944,4668,42757,0.696625467,0.303374533,0.033120947
Alabama,LIMESTONE,83313,65500,10623,4529,17813,0.786191831,0.213808169,0.054361264
Alabama,LOWNDES,11304,2837,8350,72,8467,0.250973107,0.749026893,0.006369427
Alabama,MACON,21214,3262,17495,274,17952,0.153766381,0.846233619,0.012915999
Alabama,MADISON,334661,221765,79621,14916,112896,0.662655643,0.337344357,0.044570476
Alabama,MARENGO,20909,9538,10840,364,11371,0.456167201,0.543832799,0.017408771
Alabama,MARION,30641,28382,1153,645,2259,0.926275252,0.073724748,0.021050227
Alabama,MARSHALL,93070,78169,1498,11174,14901,0.839894703,0.160105297,0.12006017
Alabama,MOBILE,412297,243363,143018,9864,168934,0.590261389,0.409738611,0.023924501
Alabama,MONROE,22993,12618,9534,224,10375,0.548775714,0.451224286,0.009742095
Alabama,MONTGOMERY,229376,88320,124716,7887,141056,0.385044643,0.614955357,0.034384591
Alabama,MORGAN,119330,92689,14000,8943,26641,0.77674516,0.22325484,0.074943434
Alabama,PERRY,10525,3144,7223,81,7381,0.29871734,0.70128266,0.007695962
Alabama,PICKENS,19646,10954,8168,320,8692,0.557568971,0.442431029,0.016288303
Alabama,PIKE,32750,18784,11905,743,13966,0.573557252,0.426442748,0.022687023
Alabama,RANDOLPH,22843,17196,4705,636,5647,0.752790789,0.247209211,0.027842227
Alabama,RUSSELL,53938,27939,22579,2092,25999,0.517983611,0.482016389,0.038785272
Alabama,ST. CLAIR,83530,72840,7358,1733,10690,0.872022028,0.127977972,0.020747037
Alabama,SHELBY,195237,156497,20982,11191,38740,0.801574497,0.198425503,0.057320078
Alabama,SUMTER,13669,3288,10132,101,10381,0.240544297,0.759455703,0.007388982
Alabama,TALLADEGA,82194,52980,26510,1653,29214,0.644572597,0.355427403,0.020110957
Alabama,TALLAPOOSA,41534,28823,11183,1006,12711,0.693961574,0.306038426,0.02422112
Alabama,TUSCALOOSA,194254,125823,58012,5860,68431,0.647724114,0.352275886,0.030166689
Alabama,WALKER,67016,60534,3611,1340,6482,0.903276829,0.096723171,0.019995225
Alabama,WASHINGTON,17407,11362,4238,163,6045,0.652725915,0.347274085,0.009364049
Alabama,WILCOX,11706,3124,8546,21,8582,0.26687169,0.73312831,0.001793952
Alabama,WINSTON,24432,23170,152,648,1262,0.948346431,0.051653569,0.026522593
Alaska,ALEUTIANS EAST BOROUGH,3114,348,405,449,2766,0.111753372,0.888246628,0.14418754
Alaska,ALEUTIANS WEST CENSUS AREA,5507,1684,316,741,3823,0.305792628,0.694207372,0.13455602
Alaska,ANCHORAGE MUNICIPALITY,291470,182176,15658,22473,109294,0.625024874,0.374975126,0.077102275
Alaska,BETHEL CENSUS AREA,17184,1908,49,201,15276,0.11103352,0.88896648,0.011696927
Alaska,BRISTOL BAY BOROUGH,929,488,2,49,441,0.525296017,0.474703983,0.052744887
Alaska,DENALI BOROUGH,1917,1634,20,43,283,0.8523735,0.1476265,0.022430882
Alaska,DILLINGHAM CENSUS AREA,4887,878,19,102,4009,0.179660323,0.820339677,0.0208717
Alaska,FAIRBANKS NORTH STAR BOROUGH,97523,71833,4267,5898,25690,0.736574962,0.263425038,0.060478041
Alaska,HAINES BOROUGH,2500,2021,8,32,479,0.8084,0.1916,0.0128
Alaska,HOONAH-ANGOON CENSUS AREA,2153,1005,5,61,1148,0.466790525,0.533209475,0.028332559
Alaska,JUNEAU CITY AND BOROUGH,31636,21282,212,1663,10354,0.672714629,0.327285371,0.052566696
Alaska,KENAI PENINSULA BOROUGH,55474,45967,302,1698,9507,0.828622418,0.171377582,0.030608934
Alaska,KETCHIKAN GATEWAY BOROUGH,13525,8910,54,559,4615,0.658780037,0.341219963,0.041330869
Alaska,KODIAK ISLAND BOROUGH,13710,7184,105,1044,6526,0.523997082,0.476002918,0.076148796
Alaska,LAKE AND PENINSULA BOROUGH,1551,416,7,19,1135,0.268214055,0.731785945,0.012250161
Alaska,MATANUSKA-SUSITNA BOROUGH,89319,73850,772,3396,15469,0.826811765,0.173188235,0.038021026
Alaska,NOME CENSUS AREA,9580,1548,126,123,8032,0.161586639,0.838413361,0.012839248
Alaska,NORTH SLOPE BOROUGH,9317,2953,46,264,6364,0.316947515,0.683052485,0.028335301
Alaska,NORTHWEST ARCTIC BOROUGH,7601,857,30,66,6744,0.112748323,0.887251677,0.008683068
Alaska,PETERSBURG CENSUS AREA,3822,2699,50,158,1123,0.706174778,0.293825222,0.041339613
Alaska,PRINCE OF WALES-HYDER CENSUS AREA,5603,2755,12,135,2848,0.491700875,0.508299125,0.024094235
Alaska,SITKA CITY AND BOROUGH,8909,5695,70,441,3214,0.639241217,0.360758783,0.049500505
Alaska,SKAGWAY MUNICIPALITY,1050,791,3,11,259,0.753333333,0.246666667,0.01047619
Alaska,SOUTHEAST FAIRBANKS CENSUS AREA,7039,5524,103,251,1515,0.784770564,0.215229436,0.035658474
Alaska,VALDEZ-CORDOVA CENSUS AREA,9614,6841,28,355,2773,0.711566466,0.288433534,0.036925317
Alaska,WADE HAMPTON CENSUS AREA,7556,233,8,34,7323,0.030836421,0.969163579,0.004499735
Alaska,WRANGELL CITY AND BOROUGH,2368,1739,13,21,629,0.734375,0.265625,0.008868243
Alaska,YAKUTAT CITY AND BOROUGH,644,247,8,14,397,0.383540373,0.616459627,0.02173913
Alaska,YUKON-KOYUKUK CENSUS AREA,5637,1223,6,70,4414,0.216959376,0.783040624,0.012417953
Arizona,APACHE,71618,14323,207,4286,57295,0.199991622,0.800008378,0.05984529
Arizona,COCHISE,131118,76471,4872,42595,54647,0.583222746,0.416777254,0.32486005
Arizona,COCONINO,134011,73929,1642,18106,60082,0.551663669,0.448336331,0.135108312
Arizona,GILA,53436,35059,238,9612,18377,0.65609327,0.34390673,0.179878733
Arizona,GRAHAM,37115,19456,706,11365,17659,0.524208541,0.475791459,0.306210427
Arizona,GREENLEE,8592,4116,84,4080,4476,0.479050279,0.520949721,0.474860335
Arizona,LA PAZ,20460,12729,179,4870,7731,0.622140762,0.377859238,0.238025415
Arizona,MARICOPA,3841819,2253066,182923,1136308,1588753,0.586458134,0.413541866,0.295773434
Arizona,MOHAVE,201216,159755,1797,30016,41461,0.793947797,0.206052203,0.149173028
Arizona,NAVAJO,107415,46958,868,11549,60457,0.437164269,0.562835731,0.107517572
Arizona,PIMA,981048,541533,32608,339278,439515,0.551994398,0.448005602,0.345832212
Arizona,PINAL,368374,214423,15811,106207,153951,0.582079626,0.417920374,0.288312965
Arizona,SANTA CRUZ,47057,7469,135,38905,39588,0.1587224,0.8412776,0.826763287
Arizona,YAVAPAI,211280,173032,1047,28767,38248,0.818970087,0.181029913,0.136155812
Arizona,YUMA,196420,69613,3357,117002,126807,0.35440892,0.64559108,0.595672538
Arkansas,ARKANSAS,19029,13523,4634,512,5506,0.710652162,0.289347838,0.026906301
Arkansas,ASHLEY,21811,14842,5610,1067,6969,0.680482325,0.319517675,0.04892027
Arkansas,BAXTER,41387,39608,123,712,1779,0.957015488,0.042984512,0.01720347
Arkansas,BENTON,222028,169904,2463,34339,52124,0.765236817,0.234763183,0.154660673
Arkansas,BOONE,37032,35197,113,720,1835,0.950448261,0.049551739,0.019442644
Arkansas,BRADLEY,11510,6663,3180,1528,4847,0.578887924,0.421112076,0.132754127
Arkansas,CALHOUN,5373,3932,1304,45,1441,0.731807184,0.268192816,0.008375209
Arkansas,CARROLL,27321,22853,41,3547,4468,0.836462794,0.163537206,0.129826873
Arkansas,CHICOT,11759,4713,6367,557,7046,0.400799388,0.599200612,0.047367973
Arkansas,CLARK,23050,16210,5438,928,6840,0.703253796,0.296746204,0.040260304
Arkansas,CLAY,15981,15460,38,223,521,0.967398786,0.032601214,0.01395407
Arkansas,CLEBURNE,25849,24721,102,536,1128,0.956361948,0.043638052,0.020735812
Arkansas,CLEVELAND,8685,7381,1043,147,1304,0.849856074,0.150143926,0.016925734
Arkansas,COLUMBIA,24644,14627,9072,551,10017,0.593531894,0.406468106,0.022358383
Arkansas,CONWAY,21203,17446,2490,771,3757,0.822808093,0.177191907,0.036362779
Arkansas,CRAIGHEAD,96709,77153,12747,4270,19556,0.797785108,0.202214892,0.044153078
Arkansas,CRAWFORD,61670,53468,820,3768,8202,0.867001784,0.132998216,0.0610994
Arkansas,CRITTENDEN,50618,22974,25748,1049,27644,0.453870165,0.546129835,0.020723853
Arkansas,CROSS,17891,13271,4114,110,4620,0.741769605,0.258230395,0.006148343
Arkansas,DALLAS,8122,4388,3495,192,3734,0.540261019,0.459738981,0.023639498
Arkansas,DESHA,12922,6066,6192,581,6856,0.469431976,0.530568024,0.04496208
Arkansas,DREW,18615,12587,5271,460,6028,0.676175128,0.323824872,0.024711254
Arkansas,FAULKNER,113730,93716,11799,4397,20014,0.824021806,0.175978194,0.038661743
Arkansas,FRANKLIN,18110,16949,116,406,1161,0.935891773,0.064108227,0.022418553
Arkansas,FULTON,12301,11853,36,110,448,0.963580197,0.036419803,0.008942362
Arkansas,GARLAND,96249,80620,7988,4643,15629,0.837619092,0.162380908,0.048239462
Arkansas,GRANT,17852,16759,364,408,1093,0.938774367,0.061225633,0.022854582
Arkansas,GREENE,42224,40224,263,940,2000,0.952633573,0.047366427,0.022262221
Arkansas,HEMPSTEAD,22548,12757,6796,2678,9791,0.5657708,0.4342292,0.118768849
Arkansas,HOT SPRING,33011,27733,3602,925,5278,0.840113901,0.159886099,0.028020963
Arkansas,HOWARD,13790,9266,2943,1338,4524,0.671936186,0.328063814,0.097026831
Arkansas,INDEPENDENCE,36572,32854,939,2089,3718,0.898337526,0.101662474,0.057120201
Arkansas,IZARD,13614,12908,163,207,706,0.948141619,0.051858381,0.015204936
Arkansas,JACKSON,17885,14050,2923,442,3835,0.785574504,0.214425496,0.024713447
Arkansas,JEFFERSON,76836,31895,42236,1236,44941,0.415104899,0.584895101,0.01608621
Arkansas,JOHNSON,25554,21317,394,3121,4237,0.834194255,0.165805745,0.122133521
Arkansas,LAFAYETTE,7618,4567,2834,132,3051,0.599501181,0.400498819,0.017327383
Arkansas,LAWRENCE,17314,16743,114,160,571,0.967020908,0.032979092,0.009241077
Arkansas,LEE,10430,4322,5888,186,6108,0.414381592,0.585618408,0.017833174
Arkansas,LINCOLN,14167,9258,4173,458,4909,0.653490506,0.346509494,0.032328651
Arkansas,LITTLE RIVER,13068,9702,2863,130,3366,0.742424242,0.257575758,0.009947964
Arkansas,LOGAN,22352,20579,289,527,1773,0.920678239,0.079321761,0.023577309
Arkansas,LONOKE,68274,59948,4225,2261,8326,0.878050209,0.121949791,0.03311656
Arkansas,MADISON,15674,14402,27,769,1272,0.918846497,0.081153503,0.049062141
Arkansas,MARION,16712,15954,39,300,758,0.95464337,0.04535663,0.017951173
Arkansas,MILLER,43449,30734,10539,1097,12715,0.707358052,0.292641948,0.025247992
Arkansas,MISSISSIPPI,46388,28047,15750,1700,18341,0.604617574,0.395382426,0.036647409
Arkansas,MONROE,8145,4537,3406,143,3608,0.557028852,0.442971148,0.017556783
Arkansas,MONTGOMERY,9453,8770,38,359,683,0.927747805,0.072252195,0.037977362
Arkansas,NEVADA,9003,5799,2854,238,3204,0.644118627,0.355881373,0.026435633
Arkansas,NEWTON,8286,7841,38,50,445,0.946294955,0.053705045,0.006034275
Arkansas,OUACHITA,25894,14542,10381,414,11352,0.561597281,0.438402719,0.01598826
Arkansas,PERRY,10413,9750,237,244,663,0.936329588,0.063670412,0.023432248
Arkansas,PHILLIPS,21646,7527,13577,299,14119,0.347731683,0.652268317,0.013813176
Arkansas,PIKE,11261,9896,397,736,1365,0.878785188,0.121214812,0.065358316
Arkansas,POINSETT,24506,21775,1777,571,2731,0.888557904,0.111442096,0.023300416
Arkansas,POLK,20535,18434,19,1185,2101,0.897686876,0.102313124,0.057706355
Arkansas,POPE,61853,53742,1950,4149,8111,0.868866506,0.131133494,0.067078396
Arkansas,PRAIRIE,8659,7390,1119,81,1269,0.85344728,0.14655272,0.009354429
Arkansas,PULASKI,383185,212279,133365,21706,170906,0.553985673,0.446014327,0.056646267
Arkansas,RANDOLPH,17992,17239,53,290,753,0.958148066,0.041851934,0.016118275
Arkansas,ST. FRANCIS,28089,11838,14552,1187,16251,0.421446118,0.578553882,0.042258535
Arkansas,SALINE,107498,95467,5009,4028,12031,0.888081639,0.111918361,0.037470465
Arkansas,SCOTT,11170,9534,22,779,1636,0.853536258,0.146463742,0.069740376
Arkansas,SEARCY,8146,7741,26,127,405,0.950282347,0.049717653,0.015590474
Arkansas,SEBASTIAN,125795,91715,7240,15352,34080,0.729083032,0.270916968,0.122039827
Arkansas,SEVIER,16978,10384,717,5212,6594,0.611615031,0.388384969,0.306985511
Arkansas,SHARP,17278,16414,50,285,864,0.949994212,0.050005788,0.016494965
Arkansas,STONE,12480,11983,9,165,497,0.960176282,0.039823718,0.013221154
Arkansas,UNION,41594,25725,13703,1415,15869,0.618478627,0.381521373,0.03401933
Arkansas,VAN BUREN,17223,16203,154,467,1020,0.940776868,0.059223132,0.027114904
Arkansas,WASHINGTON,204057,151052,6598,31439,53005,0.740244147,0.259755853,0.154069696
Arkansas,WHITE,77007,68992,3197,2863,8015,0.895918553,0.104081447,0.037178438
Arkansas,WOODRUFF,7262,5026,2086,28,2236,0.692095841,0.307904159,0.003855687
Arkansas,YELL,22033,16935,273,4154,5098,0.768619798,0.231380202,0.188535379
California,ALAMEDA,1515136,516580,181711,339441,998556,0.340946291,0.659053709,0.224033354
California,ALPINE,1197,835,0,78,362,0.697577277,0.302422723,0.065162907
California,AMADOR,37764,30248,946,4673,7516,0.800974473,0.199025527,0.123742188
California,BUTTE,220101,165440,2982,31256,54661,0.751654922,0.248345078,0.142007533
California,CALAVERAS,45507,37944,468,4738,7563,0.833805788,0.166194212,0.10411585
California,COLUSA,21329,8535,157,11740,12794,0.400159407,0.599840593,0.550424305
California,CONTRA COSTA,1052047,503249,93001,255128,548798,0.478352203,0.521647797,0.242506276
California,DEL NORTE,28496,18514,1069,5119,9982,0.649705222,0.350294778,0.179639248
California,EL DORADO,180441,144479,1298,21650,35962,0.800699398,0.199300602,0.119983817
California,FRESNO,930517,303916,44497,467958,626601,0.326609831,0.673390169,0.502901075
California,GLENN,28078,15674,211,10525,12404,0.558230643,0.441769357,0.374848636
California,HUMBOLDT,134317,103889,1584,13208,30428,0.773461289,0.226538711,0.098334537
California,IMPERIAL,173487,23876,5064,139382,149611,0.137624145,0.862375855,0.803414665
California,INYO,18474,12202,152,3575,6272,0.660495832,0.339504168,0.193515211
California,KERN,839153,323572,44582,412779,515581,0.385593569,0.614406431,0.49189957
California,KINGS,151982,53890,9978,77382,98092,0.354581464,0.645418536,0.5091524
California,LAKE,64360,47662,1417,11068,16698,0.740553139,0.259446861,0.171970168
California,LASSEN,34628,23029,2852,6108,11599,0.665039852,0.334960148,0.176389049
California,LOS ANGELES,9840024,2731605,809858,4694846,7108419,0.277601457,0.722398543,0.477117332
California,MADERA,150615,57468,4802,80939,93147,0.381555622,0.618444378,0.537390034
California,MARIN,252759,184847,6804,38605,67912,0.731317184,0.268682816,0.152734423
California,MARIPOSA,18193,15110,141,1714,3083,0.830539218,0.169460782,0.09421206
California,MENDOCINO,87577,59992,650,19426,27585,0.68502004,0.31497996,0.22181623
California,MERCED,256398,81483,8857,141027,174915,0.317798891,0.682201109,0.550031592
California,MODOC,9545,7518,129,1337,2027,0.787637507,0.212362493,0.140073337
California,MONO,14181,9674,69,3747,4507,0.682180382,0.317819618,0.264226782
California,MONTEREY,416199,137358,11516,230202,278841,0.330029625,0.669970375,0.553105606
California,NAPA,136644,77227,2646,43897,59417,0.565169345,0.434830655,0.321250842
California,NEVADA,98521,85313,300,8400,13208,0.865937211,0.134062789,0.08526101
California,ORANGE,3021840,1332316,45438,1015013,1689524,0.440895613,0.559104387,0.33589237
California,PLACER,350074,266065,4095,44888,84009,0.760025023,0.239974977,0.128224318
California,PLUMAS,19926,16965,253,1604,2961,0.851400181,0.148599819,0.080497842
California,RIVERSIDE,2192982,867580,129961,998113,1325402,0.395616562,0.604383438,0.455139623
California,SACRAMENTO,1422348,688966,138550,305985,733382,0.484386381,0.515613619,0.215126678
California,SAN BENITO,55467,21094,445,31300,34373,0.380298195,0.619701805,0.564299493
California,SAN BERNARDINO,2041029,677104,169394,1005858,1363925,0.331746389,0.668253611,0.492819063
California,SAN DIEGO,3100500,1502635,148249,992087,1597865,0.4846428,0.5153572,0.319976455
California,SAN FRANCISCO,807755,337443,46293,121628,470312,0.417754146,0.582245854,0.15057536
California,SAN JOAQUIN,687036,246851,46941,266808,440185,0.359298494,0.640701506,0.388346462
California,SAN LUIS OBISPO,270121,191834,5475,56068,78287,0.710178031,0.289821969,0.207566239
California,SAN MATEO,721183,306464,18910,181328,414719,0.424946234,0.575053766,0.251431329
California,SANTA BARBARA,423594,203859,7171,180631,219735,0.481260358,0.518739642,0.426424831
California,SANTA CLARA,1788393,629179,42681,478065,1159214,0.351812493,0.648187507,0.267315406
California,SANTA CRUZ,262340,156894,2573,83709,105446,0.598055958,0.401944042,0.319085919
California,SHASTA,177693,146440,1563,14994,31253,0.824118001,0.175881999,0.084381489
California,SIERRA,3163,2806,36,281,357,0.887132469,0.112867531,0.088839709
California,SISKIYOU,44673,35501,541,4652,9172,0.794685828,0.205314172,0.104134488
California,SOLANO,414209,168848,57592,99502,245361,0.407639622,0.592360378,0.240221724
California,SONOMA,483456,320460,7063,119747,162996,0.662852462,0.337147538,0.247689552
California,STANISLAUS,515115,240545,13250,216009,274570,0.466973394,0.533026606,0.419341312
California,SUTTER,94615,47771,1536,27119,46844,0.5048988,0.4951012,0.286624742
California,TEHAMA,63200,45453,360,13885,17747,0.719193038,0.280806962,0.219699367
California,TRINITY,13693,11418,119,956,2275,0.833856715,0.166143285,0.069816695
California,TULARE,441877,144029,5559,267639,297848,0.325948171,0.674051829,0.60568665
California,TUOLUMNE,55205,44945,1105,5935,10260,0.814147269,0.185852731,0.107508378
California,VENTURA,822794,400432,12937,331225,422362,0.486673457,0.513326543,0.402561273
California,YOLO,200873,100254,4748,60939,100619,0.499091466,0.500908534,0.303370787
California,YUBA,72244,42230,1975,18193,30014,0.584546814,0.415453186,0.251827141
Colorado,ADAMS,442996,235991,12970,167556,207005,0.532715871,0.467284129,0.378233664
Colorado,ALAMOSA,15750,7767,110,7185,7983,0.493142857,0.506857143,0.456190476
Colorado,ARAPAHOE,574357,364766,55629,105174,209591,0.635085844,0.364914156,0.183116076
Colorado,ARCHULETA,12109,9493,9,2157,2616,0.783962342,0.216037658,0.178131968
Colorado,BACA,3783,3311,16,347,472,0.875231298,0.124768702,0.091726143
Colorado,BENT,6192,3445,525,1908,2747,0.556363049,0.443636951,0.308139535
Colorado,BOULDER,297218,235676,2230,39475,61542,0.792939862,0.207060138,0.132814971
Colorado,BROOMFIELD,55913,44218,413,6380,11695,0.790835763,0.209164237,0.114105843
Colorado,CHAFFEE,17879,15439,500,1722,2440,0.863527043,0.136472957,0.096314112
Colorado,CHEYENNE,2095,1761,5,308,334,0.840572792,0.159427208,0.147016706
Colorado,CLEAR CREEK,9059,8327,27,453,732,0.919196379,0.080803621,0.050005519
Colorado,CONEJOS,8241,3490,6,4584,4751,0.423492295,0.576507705,0.556243174
Colorado,COSTILLA,3556,1105,12,2333,2451,0.310742407,0.689257593,0.656074241
Colorado,CROWLEY,5747,3436,441,1673,2311,0.597877153,0.402122847,0.291108404
Colorado,CUSTER,4208,3976,34,152,232,0.94486692,0.05513308,0.036121673
Colorado,DELTA,30710,25460,306,4310,5250,0.829045913,0.170954087,0.140345164
Colorado,DENVER,604356,315700,59347,192012,288656,0.52237423,0.47762577,0.317713401
Colorado,DOLORES,1806,1693,0,68,113,0.937430786,0.062569214,0.03765227
Colorado,DOUGLAS,286883,244370,3010,21771,42513,0.851810668,0.148189332,0.07588808
Colorado,EAGLE,51850,34932,156,15484,16918,0.673712633,0.326287367,0.298630665
Colorado,ELBERT,23058,20841,73,1280,2217,0.903851158,0.096148842,0.055512187
Colorado,EL PASO,622816,448325,35389,93837,174491,0.719835393,0.280164607,0.150665686
Colorado,FREMONT,47006,36270,2736,5839,10736,0.771603625,0.228396375,0.124218185
Colorado,GARFIELD,56330,38992,267,15743,17338,0.692206639,0.307793361,0.279478076
Colorado,GILPIN,5358,4845,44,319,513,0.904255319,0.095744681,0.059537141
Colorado,GRAND,14608,13110,87,1095,1498,0.89745345,0.10254655,0.074958927
Colorado,GUNNISON,15385,13680,95,1280,1705,0.889177771,0.110822229,0.08319792
Colorado,HINSDALE,790,764,0,19,26,0.967088608,0.032911392,0.024050633
Colorado,HUERFANO,6730,3573,129,2391,3157,0.530906389,0.469093611,0.355274889
Colorado,JACKSON,1397,1257,4,126,140,0.899785254,0.100214746,0.090193271
Colorado,JEFFERSON,536095,427845,5201,77024,108250,0.798076833,0.201923167,0.143676028
Colorado,KIOWA,1393,1304,2,65,89,0.936109117,0.063890883,0.046661881
Colorado,KIT CARSON,8210,6307,259,1534,1903,0.768209501,0.231790499,0.186845311
Colorado,LAKE,7372,4432,75,2519,2940,0.601193706,0.398806294,0.341698318
Colorado,LA PLATA,51443,41297,186,6119,10146,0.802772,0.197228,0.118947184
Colorado,LARIMER,300870,253754,2285,31771,47116,0.843400804,0.156599196,0.105597102
Colorado,LAS ANIMAS,15385,8228,158,6459,7157,0.53480663,0.46519337,0.419824504
Colorado,LINCOLN,5443,4048,499,680,1395,0.743707514,0.256292486,0.124931104
Colorado,LOGAN,22541,18256,315,3542,4285,0.809901956,0.190098044,0.157135886
Colorado,MESA,146562,121714,822,19484,24848,0.830460829,0.169539171,0.132940326
Colorado,MINERAL,702,671,9,15,31,0.955840456,0.044159544,0.021367521
Colorado,MOFFAT,13547,11169,47,1918,2378,0.824462981,0.175537019,0.141581162
Colorado,MONTEZUMA,25424,19081,13,2865,6343,0.750511328,0.249488672,0.112688798
Colorado,MONTROSE,40994,31799,186,8037,9195,0.775698883,0.224301117,0.196053081
Colorado,MORGAN,28200,17399,701,9557,10801,0.616985816,0.383014184,0.338900709
Colorado,OTERO,18791,10592,72,7596,8199,0.563674099,0.436325901,0.40423607
Colorado,OURAY,4445,4284,0,91,161,0.963779528,0.036220472,0.020472441
Colorado,PARK,16168,14818,5,777,1350,0.916501732,0.083498268,0.048057892
Colorado,PHILLIPS,4380,3204,1,1103,1176,0.731506849,0.268493151,0.251826484
Colorado,PITKIN,17000,14919,85,1532,2081,0.877588235,0.122411765,0.090117647
Colorado,PROWERS,12539,7824,27,4432,4715,0.623973204,0.376026796,0.353457213
Colorado,PUEBLO,159072,85971,2736,65892,73101,0.54045338,0.45954662,0.41422752
Colorado,RIO BLANCO,6728,5780,48,691,948,0.859096314,0.140903686,0.102705113
Colorado,RIO GRANDE,11925,6523,69,5098,5402,0.547002096,0.452997904,0.427505241
Colorado,ROUTT,23385,21278,89,1535,2107,0.909899508,0.090100492,0.065640368
Colorado,SAGUACHE,6189,3413,20,2556,2776,0.551462272,0.448537728,0.41299079
Colorado,SAN JUAN,747,608,0,108,139,0.813922356,0.186077644,0.144578313
Colorado,SAN MIGUEL,7432,6559,1,664,873,0.882534984,0.117465016,0.08934338
Colorado,SEDGWICK,2389,1891,6,446,498,0.791544579,0.208455421,0.186688991
Colorado,SUMMIT,27753,22955,164,3836,4798,0.827117789,0.172882211,0.138219292
Colorado,TELLER,23163,20962,191,1248,2201,0.904977766,0.095022234,0.053879031
Colorado,WASHINGTON,4796,4262,20,431,534,0.888657214,0.111342786,0.089866555
Colorado,WELD,253552,171475,1969,71792,82077,0.676291254,0.323708746,0.283145075
Colorado,YUMA,10032,7823,15,2080,2209,0.779804625,0.220195375,0.207336523
Connecticut,FAIRFIELD,918892,608561,94363,155557,310331,0.66227696,0.33772304,0.169287577
Connecticut,HARTFORD,893504,589792,109539,137155,303712,0.660088819,0.339911181,0.153502391
Connecticut,LITCHFIELD,189277,172669,2050,8575,16608,0.912255583,0.087744417,0.045303972
Connecticut,MIDDLESEX,165639,142473,7161,7968,23166,0.860141633,0.139858367,0.048104613
