fips,geo_id,state,county,total_pop_1990,white_1990,black_1990,latino_1990,non_white_1990,pct_white_1990,pct_nonwhite_1990,pct_latino_1990,total_pop_2000,white_2000,black_2000,latino_2000,non_white_2000,pct_white_2000,pct_nonwhite_2000,pct_latino_2000,total_pop_2010,white_2010,black_2010,latino_2010,non_white_2010,pct_white_2010,pct_nonwhite_2010,pct_latino_2010,total_pop_2012,white_2012,black_2012,latino_2012,non_white_2012,pct_white_2012,pct_nonwhite_2012,pct_latino_2012,total_pop_2014,white_2014,black_2014,asian_2014,latino_2014,pct_latino_2014,pct_white_2014,pct_nonwhite_2014,total_pop_2016,white_2016,black_2016,latino_2016,non_white_2016,pct_white_2016,pct_latino_2016,pct_nonwhite_2016
1023,05000US01023,Alabama,choctaw,16018,8889,7052,53,7129,0.554938195,0.445061805,0.003308778,15922,8724,6985,107,7198,0.547921115,0.452078885,0.006720261,13859,7700,5990,73,6159,0.555595642,0.444404358,0.005267335,13838,7664,5919,83,6174,0.55383726,0.44616274,0.005997977,13546,7551,5847,8,56,0.004134062,0.557433929,0.442566071,13395,7487,5753,48,5908,0.558939903,0.003583427,0.441060097
1025,05000US01025,Alabama,clarke,27240,15481,11572,103,11759,0.568318649,0.431681351,0.003781204,27867,15519,11918,180,12348,0.556895252,0.443104748,0.006459253,25833,13943,11280,271,11890,0.539735997,0.460264003,0.010490458,25768,13879,11310,183,11889,0.538613785,0.461386215,0.007101832,25331,13548,11401,51,110,0.004342505,0.534838735,0.465161265,25070,13376,11346,85,11694,0.533546071,0.003390507,0.466453929
1027,05000US01027,Alabama,clay,13252,11021,2166,27,2231,0.831648053,0.168351947,0.002037428,14254,11616,2219,253,2638,0.814929143,0.185070857,0.017749404,13932,11186,2048,399,2746,0.802899799,0.197100201,0.028639104,13828,11070,2157,401,2758,0.800549609,0.199450391,0.028999132,13617,10900,1986,0,424,0.031137549,0.800470001,0.199529999,13537,10821,1948,430,2716,0.799364704,0.031764793,0.200635296
1029,05000US01029,Alabama,cleburne,12730,12072,587,38,658,0.948311076,0.051688924,0.002985075,14123,13235,521,198,888,0.937123841,0.062876159,0.014019684,14972,13956,494,307,1016,0.932139995,0.067860005,0.020504943,14905,13852,573,313,1053,0.929352566,0.070647434,0.020999665,14990,13897,430,69,331,0.022081388,0.927084723,0.072915277,15002,13877,442,345,1125,0.925009999,0.022996934,0.074990001
1031,05000US01031,Alabama,coffee,40240,32396,6903,471,7844,0.805069583,0.194930417,0.011704771,43615,32971,7950,1183,10644,0.75595552,0.24404448,0.027123696,49948,36134,8257,3180,13814,0.72343237,0.27656763,0.063666213,49966,36140,8579,3070,13826,0.723291838,0.276708162,0.06144178,50726,36434,8576,673,3236,0.063793715,0.718250996,0.281749004,50884,36392,8753,3276,14492,0.715195346,0.064381731,0.284804654
1033,05000US01033,Alabama,colbert,51666,42701,8545,187,8965,0.826481632,0.173518368,0.003619402,54984,44470,9096,618,10514,0.808780736,0.191219264,0.011239633,54428,43334,8702,1093,11094,0.796171088,0.203828912,0.020081576,54451,43334,8706,1132,11117,0.795834787,0.204165213,0.020789334,54491,43099,8691,172,1276,0.023416711,0.790937953,0.209062047,54444,42957,8478,1321,11487,0.789012563,0.024263463,0.210987437
1035,05000US01035,Alabama,conecuh,14054,8026,5888,82,6028,0.571082966,0.428917034,0.005834638,14089,7760,6091,102,6329,0.5507843,0.4492157,0.007239691,13228,6764,6122,161,6464,0.511339583,0.488660417,0.012171152,13188,6756,6130,38,6432,0.512283894,0.487716106,0.002881407,12985,6629,5814,10,206,0.015864459,0.510512129,0.489487871,12865,6557,5748,210,6308,0.509677419,0.016323358,0.490322581
1037,05000US01037,Alabama,coosa,11063,7230,3776,18,3833,0.653529784,0.346470216,0.001627045,12202,7742,4147,158,4460,0.63448615,0.36551385,0.012948697,11539,7604,3556,230,3935,0.658982581,0.341017419,0.019932403,11305,7431,3558,225,3874,0.65731977,0.34268023,0.019902698,11247,7311,3524,0,238,0.021161199,0.650040011,0.349959989,11027,7190,3384,237,3837,0.652035912,0.0214927,0.347964088
1039,05000US01039,Alabama,covington,36478,31460,4770,130,5018,0.862437634,0.137562366,0.003563792,37631,32247,4618,292,5384,0.85692647,0.14307353,0.00775956,37765,31751,4685,483,6014,0.840752019,0.159247981,0.01278962,37803,31734,4744,516,6069,0.839457186,0.160542814,0.01364971,37881,31656,4849,134,564,0.01488873,0.835669597,0.164330403,37886,31577,4912,580,6309,0.833474107,0.015309085,0.166525893
1041,05000US01041,Alabama,crenshaw,13635,10027,3542,30,3608,0.735386872,0.264613128,0.00220022,13665,10042,3369,87,3623,0.734870106,0.265129894,0.00636663,13906,10020,3241,204,3886,0.72055228,0.27944772,0.014669927,13971,9932,3099,213,4039,0.710901152,0.289098848,0.015245866,13938,9873,3269,228,229,0.016429904,0.70835127,0.29164873,13938,9825,3277,237,4113,0.704907447,0.017003874,0.295092553
1043,05000US01043,Alabama,cullman,67613,66540,559,272,1073,0.984130271,0.015869729,0.004022895,77483,73940,726,1688,3543,0.954273841,0.045726159,0.021785424,80406,74568,821,3454,5838,0.927393478,0.072606522,0.042956993,80403,74566,743,3402,5837,0.927403206,0.072596794,0.042311854,80668,74464,886,401,3481,0.043152179,0.92309218,0.07690782,80965,74635,857,3493,6330,0.92181807,0.043142098,0.07818193
1045,05000US01045,Alabama,dale,49633,38690,8767,1215,10943,0.779521689,0.220478311,0.024479681,49129,35771,9902,1642,13358,0.728103564,0.271896436,0.033422215,50251,35705,9546,2821,14546,0.710533124,0.289466876,0.056138186,50129,35388,9491,2794,14741,0.705938678,0.294061322,0.055736201,50013,35116,9528,599,2929,0.058564773,0.702137444,0.297862556,49866,34829,9678,2980,15037,0.698451851,0.059760157,0.301548149
1047,05000US01047,Alabama,dallas,48130,20054,27768,131,28076,0.416663204,0.583336796,0.002721795,46365,16417,29201,290,29948,0.354081743,0.645918257,0.006254718,43820,12676,30314,309,31144,0.289274304,0.710725696,0.007051575,43572,12651,30027,315,30921,0.290347012,0.709652988,0.007229413,42743,12251,29738,55,160,0.003743303,0.286620031,0.713379969,42154,12045,29159,130,30109,0.285738008,0.00308393,0.714261992
1049,05000US01049,Alabama,dekalb,54651,52854,1023,215,1797,0.967118625,0.032881375,0.003934054,64452,58436,1064,3578,6016,0.906659219,0.093340781,0.055514181,71109,57997,1029,9690,13112,0.815607026,0.184392974,0.136269671,70949,57992,1162,9544,12957,0.817375862,0.182624138,0.134519162,71074,57599,1179,206,9922,0.139600979,0.81040887,0.18959113,71068,57485,1270,9957,13583,0.808873192,0.140105251,0.191126808
1051,05000US01051,Alabama,elmore,49210,37687,10995,270,11523,0.765840276,0.234159724,0.00548669,65874,50376,13505,805,15498,0.764732671,0.235267329,0.012220299,79303,59449,15814,2129,19854,0.749643771,0.250356229,0.026846399,79330,59267,15916,2091,20063,0.747094416,0.252905584,0.02635825,80321,59434,16493,617,2180,0.027141096,0.739955927,0.260044073,80763,59479,16991,2229,21284,0.73646348,0.027599272,0.26353652
1053,05000US01053,Alabama,escambia,35518,24227,10015,169,11291,0.682104848,0.317895152,0.004758151,38440,24575,11799,379,13865,0.639308012,0.360691988,0.009859521,38319,23508,12162,718,14811,0.613481563,0.386518437,0.018737441,38122,23359,12265,730,14763,0.612743298,0.387256702,0.019149048,38042,23179,12339,52,768,0.020188213,0.609300247,0.390699753,37935,23023,12660,466,14912,0.606906551,0.01228417,0.393093449
1055,05000US01055,Alabama,etowah,99840,85078,13782,331,14762,0.852143429,0.147856571,0.003315304,103459,84919,15120,1763,18540,0.820798577,0.179201423,0.017040567,104430,82789,15716,3447,21641,0.792770277,0.207229723,0.033007756,104317,82700,15704,3503,21617,0.792775866,0.207224134,0.033580337,104126,81954,15955,696,3669,0.035236156,0.78706567,0.21293433,103766,81479,15947,3740,22287,0.785218665,0.036042634,0.214781335
1057,05000US01057,Alabama,fayette,17962,15666,2190,78,2296,0.872174591,0.127825409,0.004342501,18495,15994,2199,152,2501,0.864774263,0.135225737,0.008218437,17241,14832,1958,204,2409,0.860274926,0.139725074,0.01183226,17219,14775,1937,213,2444,0.858063767,0.141936233,0.012370056,17019,14559,2081,42,128,0.007521006,0.855455667,0.144544333,16896,14413,2033,126,2483,0.85304214,0.007457386,0.14695786
1059,05000US01059,Alabama,franklin,27814,26375,1247,101,1439,0.948263464,0.051736536,0.003631265,31223,27268,1307,2316,3955,0.873330558,0.126669442,0.074176088,31704,25249,1211,4710,6455,0.796397931,0.203602069,0.148561696,31664,25283,1288,4649,6381,0.798477767,0.201522233,0.14682289,31663,24970,1391,23,4882,0.154186274,0.788617629,0.211382371,31634,24833,1301,4958,6801,0.7850098,0.156730101,0.2149902
1061,05000US01061,Alabama,geneva,23647,20604,2817,121,3043,0.8713156,0.1286844,0.005116928,25764,22181,2725,453,3583,0.86092998,0.13907002,0.017582673,26790,22692,2523,920,4098,0.847032475,0.152967525,0.034341172,26769,22640,2576,899,4129,0.845754417,0.154245583,0.033583623,26816,22582,2557,109,947,0.035314737,0.842109189,0.157890811,26815,22534,2342,973,4281,0.84035055,0.036285661,0.15964945
1063,05000US01063,Alabama,greene,10153,1966,8160,24,8187,0.193637349,0.806362651,0.002363833,9974,1898,7964,58,8076,0.190294766,0.809705234,0.005815119,9045,1562,7349,69,7483,0.172692095,0.827307905,0.007628524,9067,1608,7421,0,7459,0.177346421,0.822653579,0,8798,1559,7102,10,39,0.004432826,0.177199363,0.822800637,8697,1547,7011,61,7150,0.177877429,0.007013913,0.822122571
1065,05000US01065,Alabama,hale,15498,6241,9172,57,9257,0.402697122,0.597302878,0.003677894,17185,6803,10074,157,10382,0.39586849,0.60413151,0.009135874,15760,6213,9265,140,9547,0.394225888,0.605774112,0.008883249,15750,6241,9312,66,9509,0.396253968,0.603746032,0.004190476,15393,6128,8974,41,164,0.010654193,0.398103034,0.601896966,15256,6095,8873,170,9161,0.399514945,0.011143157,0.600485055
1067,05000US01067,Alabama,henry,15374,9878,5368,92,5496,0.642513334,0.357486666,0.005984129,16310,10647,5247,249,5663,0.6527897,0.3472103,0.015266708,17302,11731,4915,389,5571,0.678014102,0.321985898,0.02248295,17275,11676,4790,389,5599,0.675890014,0.324109986,0.02251809,17270,11767,4777,218,418,0.024203822,0.681354951,0.318645049,17252,11788,4891,429,5464,0.683283098,0.024866682,0.316716902
1069,05000US01069,Alabama,houston,81331,61233,18900,464,20098,0.752886353,0.247113647,0.005705082,88787,64312,21703,1122,24475,0.724340275,0.275659725,0.012636985,101547,69731,26038,2995,31816,0.686686953,0.313313047,0.029493732,101459,69571,25997,2950,31888,0.685705556,0.314294444,0.029075784,103079,70059,26765,831,3251,0.031538917,0.679663171,0.320336829,103534,70069,27121,3338,33465,0.676772848,0.032240617,0.323227152
1071,05000US01071,Alabama,jackson,47796,44531,1957,208,3265,0.931688844,0.068311156,0.004351829,53926,49200,2002,610,4726,0.912361384,0.087638616,0.011311798,53227,47937,1771,1339,5290,0.90061435,0.09938565,0.025156406,53279,47986,1770,1334,5293,0.900655042,0.099344958,0.025038007,53012,47536,1715,204,1413,0.026654342,0.896702633,0.103297367,52860,47279,1635,1450,5581,0.894419221,0.02743095,0.105580779
1073,05000US01073,Alabama,jefferson,651525,416458,228191,2745,235067,0.639204942,0.360795058,0.004213192,662047,379707,259623,10284,282340,0.573534809,0.426465191,0.01553364,658466,340213,275511,25488,318253,0.516675121,0.483324879,0.038708149,658464,340382,276695,24770,318082,0.516933348,0.483066652,0.03761785,658834,337392,277526,9906,25116,0.038121894,0.512104718,0.487895282,659026,336064,277830,24991,322962,0.509940427,0.037921114,0.490059573
1075,05000US01075,Alabama,lamar,15715,13748,1862,71,1967,0.874832962,0.125167038,0.004517976,15904,13695,1899,207,2209,0.861104125,0.138895875,0.013015594,14564,12542,1635,180,2022,0.861164515,0.138835485,0.012359242,14513,12478,1728,186,2035,0.859780886,0.140219114,0.012816096,14268,12270,1659,2,195,0.013666947,0.859966358,0.140033642,14133,12154,1565,196,1979,0.859973113,0.013868252,0.140026887
1077,05000US01077,Alabama,lauderdale,79661,71310,7677,313,8351,0.895168276,0.104831724,0.00392915,87966,77240,8624,894,10726,0.878066526,0.121933474,0.010163018,92709,79228,9190,2082,13481,0.854588012,0.145411988,0.022457367,92528,79132,9322,2065,13396,0.855222203,0.144777797,0.022317569,92780,78934,9179,743,2174,0.023431774,0.850765251,0.149234749,92737,78773,9156,2229,13964,0.849423639,0.024035714,0.150576361
1079,05000US01079,Alabama,lawrence,31513,24483,4790,102,7030,0.776917463,0.223082537,0.003236759,34803,26899,4613,367,7904,0.772893141,0.227106859,0.010545068,34339,26420,3917,574,7919,0.769387577,0.230612423,0.016715688,34148,26187,3797,601,7961,0.766867752,0.233132248,0.017599859,33835,25899,3743,40,663,0.019595094,0.765449978,0.234550022,33586,25703,3837,697,7883,0.765289109,0.020752695,0.234710891
1081,05000US01081,Alabama,lee,87146,64527,20359,552,22619,0.740447066,0.259552934,0.006334198,115092,84298,25954,1645,30794,0.732440135,0.267559865,0.014292913,140247,97900,31674,4571,42347,0.698054147,0.301945853,0.032592498,140938,98181,31944,4668,42757,0.696625467,0.303374533,0.033120947,147790,101394,33782,4537,5434,0.036768388,0.68606807,0.31393193,150982,102965,34698,5615,48017,0.681968712,0.037189864,0.318031288
1083,05000US01083,Alabama,limestone,54135,46468,7106,261,7667,0.858372587,0.141627413,0.00482128,65676,54142,8703,1740,11534,0.824380291,0.175619709,0.026493696,82782,65112,10350,4591,17670,0.7865478,0.2134522,0.055458916,83313,65500,10623,4529,17813,0.786191831,0.213808169,0.054361264,87167,67850,11113,1089,4934,0.05660399,0.778390905,0.221609095,88805,68756,11385,5137,20049,0.774235685,0.057845842,0.225764315
1085,05000US01085,Alabama,lowndes,12658,3177,9408,60,9481,0.250987518,0.749012482,0.004740085,13473,3464,9841,85,10009,0.257106806,0.742893194,0.006308914,11299,2841,8283,87,8458,0.25143818,0.74856182,0.007699796,11304,2837,8350,72,8467,0.250973107,0.749026893,0.006369427,10918,2754,8024,0,102,0.00934237,0.252244001,0.747755999,10742,2716,7955,36,8026,0.252839322,0.003351331,0.747160678
1087,05000US01087,Alabama,macon,24928,3429,21290,103,21499,0.137556162,0.862443838,0.0041319,24105,3331,20298,173,20774,0.138187098,0.861812902,0.007176934,21452,3267,17631,232,18185,0.152293492,0.847706508,0.010814842,21214,3262,17495,274,17952,0.153766381,0.846233619,0.012915999,20505,3255,16627,38,305,0.014874421,0.15874177,0.84125823,20018,3220,16186,313,16798,0.16085523,0.015635928,0.83914477
1089,05000US01089,Alabama,madison,238912,182334,47826,2984,56578,0.763184771,0.236815229,0.012489954,276700,196496,62602,5226,80204,0.710140947,0.289859053,0.018886881,334811,221445,79517,15404,113366,0.661403,0.338597,0.046008046,334661,221765,79621,14916,112896,0.662655643,0.337344357,0.044570476,343229,225888,81479,8321,15984,0.046569492,0.658126207,0.341873793,346438,227290,82732,16214,119148,0.656076989,0.046802025,0.343923011
1091,05000US01091,Alabama,marengo,23084,11279,11707,75,11805,0.488606827,0.511393173,0.003249004,22539,10582,11581,219,11957,0.469497316,0.530502684,0.009716491,21027,9607,10838,352,11420,0.456888762,0.543111238,0.016740381,20909,9538,10840,364,11371,0.456167201,0.543832799,0.017408771,20489,9389,10472,58,425,0.020742838,0.458245888,0.541754112,20306,9293,10413,459,11013,0.457647986,0.022604156,0.542352014
1093,05000US01093,Alabama,marion,29830,28708,965,65,1122,0.962386859,0.037613141,0.002179014,31214,29387,1131,360,1827,0.941468572,0.058531428,0.011533286,30776,28509,1178,632,2267,0.926338705,0.073661295,0.020535482,30641,28382,1153,645,2259,0.926275252,0.073724748,0.021050227,30527,28105,1083,157,706,0.023127068,0.920660399,0.079339601,30387,27898,1118,726,2489,0.918089973,0.023891796,0.081910027
1095,05000US01095,Alabama,marshall,70832,69118,1086,289,1714,0.975801897,0.024198103,0.004080077,82231,75081,1194,4656,7150,0.913049823,0.086950177,0.056620982,93019,78060,1389,11238,14959,0.839183393,0.160816607,0.120814027,93070,78169,1498,11174,14901,0.839894703,0.160105297,0.12006017,94121,78149,1692,512,11830,0.125689272,0.830303545,0.169696455,94318,77992,1805,11944,16326,0.826904727,0.126635425,0.173095273
1097,05000US01097,Alabama,mobile,378643,252660,117509,3164,125983,0.66727762,0.33272238,0.008356156,399843,249763,132845,4887,150080,0.624652676,0.375347324,0.012222297,412992,243904,142272,9936,169088,0.590578026,0.409421974,0.024058577,412297,243363,143018,9864,168934,0.590261389,0.409738611,0.023924501,414045,242009,144312,7891,10710,0.025866754,0.584499269,0.415500731,414251,240830,144839,10917,173421,0.581362507,0.026353588,0.418637493
1099,05000US01099,Alabama,monroe,23968,14251,9354,94,9717,0.594584446,0.405415554,0.003921896,24324,13962,9683,190,10362,0.574000987,0.425999013,0.007811215,23068,12621,9581,220,10447,0.547121554,0.452878446,0.009537021,22993,12618,9534,224,10375,0.548775714,0.451224286,0.009742095,22509,12333,9392,114,234,0.010395842,0.547914168,0.452085832,22217,12183,9282,242,10034,0.548363866,0.01089256,0.451636134
1101,05000US01101,Alabama,montgomery,209085,118480,87050,1624,90605,0.566659493,0.433340507,0.007767176,223510,107858,108146,2665,115652,0.482564538,0.517435462,0.011923404,229363,88099,124928,8314,141264,0.384102929,0.615897071,0.036248218,229376,88320,124716,7887,141056,0.385044643,0.614955357,0.034384591,228850,85400,126780,5191,7956,0.03476513,0.373170199,0.626829801,228138,84081,127411,7791,144057,0.368553244,0.034150383,0.631446756
1103,05000US01103,Alabama,morgan,100043,88726,10042,584,11317,0.886878642,0.113121358,0.00583749,111064,92584,12383,3645,18480,0.83360945,0.16639055,0.032818915,119490,92585,14059,9156,26905,0.774834714,0.225165286,0.076625659,119330,92689,14000,8943,26641,0.77674516,0.22325484,0.074943434,119744,92275,14277,746,9304,0.077699091,0.770602285,0.229397715,119786,92013,14543,9358,27773,0.768144858,0.078122652,0.231855142
1105,05000US01105,Alabama,perry,12759,4496,8196,36,8263,0.352378713,0.647621287,0.002821538,11861,3642,8057,102,8219,0.307056741,0.692943259,0.008599612,10591,3142,7244,114,7449,0.296666981,0.703333019,0.010763856,10525,3144,7223,81,7381,0.29871734,0.70128266,0.007695962,10203,3045,6974,32,88,0.008624914,0.298441635,0.701558365,10038,3011,6829,93,7027,0.299960151,0.009264794,0.700039849
1107,05000US01107,Alabama,pickens,20699,11973,8625,50,8726,0.578433741,0.421566259,0.002415576,20949,11676,8940,147,9273,0.557353573,0.442646427,0.007017041,19746,11027,8169,313,8719,0.558442216,0.441557784,0.015851312,19646,10954,8168,320,8692,0.557568971,0.442431029,0.016288303,19629,10920,8387,0,154,0.007845535,0.556319731,0.443680269,19856,10967,8408,325,8889,0.552326753,0.016367849,0.447673247
1109,05000US01109,Alabama,pike,27595,17760,9513,108,9835,0.643594854,0.356405146,0.003913752,29605,17790,10766,365,11815,0.600912008,0.399087992,0.012328998,32899,18887,11990,730,14012,0.574090398,0.425909602,0.022189124,32750,18784,11905,743,13966,0.573557252,0.426442748,0.022687023,33216,18995,12087,724,750,0.02257948,0.571862958,0.428137042,33155,18941,12652,289,14214,0.571286382,0.008716634,0.428713618
1111,05000US01111,Alabama,randolph,19881,15104,4672,53,4777,0.759720336,0.240279664,0.002665862,22380,16940,4949,272,5440,0.756925827,0.243074173,0.012153709,22913,17280,4604,649,5633,0.754157029,0.245842971,0.028324532,22843,17196,4705,636,5647,0.752790789,0.247209211,0.027842227,22724,17095,4515,36,658,0.02895617,0.75228833,0.24771167,22648,17029,4429,668,5619,0.751898622,0.029494878,0.248101378
1113,05000US01113,Alabama,russell,46860,28311,18041,301,18549,0.604161332,0.395838668,0.006423389,49756,27925,20217,744,21831,0.561238846,0.438761154,0.01495297,52947,27591,21926,1946,25356,0.521106012,0.478893988,0.036753735,53938,27939,22579,2092,25999,0.517983611,0.482016389,0.038785272,56980,28839,23592,439,2592,0.045489645,0.506124956,0.493875044,58302,29036,24252,2824,29266,0.498027512,0.048437446,0.501972488
1117,05000US01117,Alabama,shelby,99358,90292,7698,525,9066,0.908754202,0.091245798,0.005283923,143293,126951,10570,2910,16342,0.885953954,0.114046046,0.02030804,195085,156371,20606,11567,38714,0.801553169,0.198446831,0.059292103,195237,156497,20982,11191,38740,0.801574497,0.198425503,0.057320078,201168,159233,23009,4070,11892,0.05911477,0.791542392,0.208457608,203530,160416,23890,11902,43114,0.78816882,0.058477866,0.21183118
1115,05000US01115,Alabama,st. clair,50009,45038,4545,209,4971,0.900597892,0.099402108,0.004179248,64742,57917,5253,686,6825,0.89458157,0.10541843,0.010595904,83593,72947,7098,1716,10646,0.872644839,0.127355161,0.020528035,83530,72840,7358,1733,10690,0.872022028,0.127977972,0.020747037,85242,73778,7888,577,1861,0.021831961,0.865512306,0.134487694,85864,74082,8047,1913,11782,0.862783006,0.022279419,0.137216994
1119,05000US01119,Alabama,sumter,16174,4745,11313,78,11429,0.293372079,0.706627921,0.004822555,14798,3813,10718,165,10985,0.257669955,0.742330045,0.011150155,13763,3304,10283,86,10459,0.24006394,0.75993606,0.006248638,13669,3288,10132,101,10381,0.240544297,0.759455703,0.007388982,13433,3288,9805,205,63,0.004689943,0.244770342,0.755229658,13341,3312,9660,53,10029,0.248257252,0.003972716,0.751742748
1121,05000US01121,Alabama,talladega,74107,50696,22620,490,23411,0.684091921,0.315908079,0.006612061,80321,53399,25206,812,26922,0.66481991,0.33518009,0.010109436,82291,53079,25953,1671,29212,0.645015858,0.354984142,0.020305987,82194,52980,26510,1653,29214,0.644572597,0.355427403,0.020110957,81673,52292,26002,274,1742,0.021328958,0.640260551,0.359739449,81437,51883,25976,1768,29554,0.637093704,0.021710034,0.362906296
1123,05000US01123,Alabama,tallapoosa,38826,28461,10187,71,10365,0.733039716,0.266960284,0.001828672,41475,30342,10488,242,11133,0.731573237,0.268426763,0.00583484,41616,28838,11050,1042,12778,0.692954633,0.307045367,0.025038447,41534,28823,11183,1006,12711,0.693961574,0.306038426,0.02422112,41295,28551,11328,5,1036,0.025087783,0.69139121,0.30860879,41153,28408,11266,1017,12745,0.690302044,0.024712658,0.309697956
