state,county,total_pop,white,black,latino,non_white,pct_white,pct_nonwhite,pct_latino
Alabama,AUTAUGA,34222,26997,6806,230,7225,0.788878499,0.211121501,0.006720823
Alabama,BALDWIN,98280,83800,12592,1022,14480,0.852665853,0.147334147,0.01039886
Alabama,BARBOUR,25417,14054,11156,124,11363,0.552937011,0.447062989,0.004878625
Alabama,BIBB,16576,13033,3468,39,3543,0.786257239,0.213742761,0.002352799
Alabama,BLOUNT,39248,38275,519,286,973,0.975208928,0.024791072,0.007286996
Alabama,BULLOCK,11042,3011,7948,65,8031,0.272686108,0.727313892,0.005886615
Alabama,BUTLER,21892,13001,8783,65,8891,0.593869907,0.406130093,0.002969121
Alabama,CALHOUN,116034,92154,21476,1282,23880,0.794198252,0.205801748,0.011048486
Alabama,CHAMBERS,36876,23510,13187,127,13366,0.637542033,0.362457967,0.003443974
Alabama,CHEROKEE,19543,18118,1291,57,1425,0.927083866,0.072916134,0.002916645
Alabama,CHILTON,32458,28577,3664,116,3881,0.880430094,0.119569906,0.003573849
Alabama,CHOCTAW,16018,8889,7052,53,7129,0.554938195,0.445061805,0.003308778
Alabama,CLARKE,27240,15481,11572,103,11759,0.568318649,0.431681351,0.003781204
Alabama,CLAY,13252,11021,2166,27,2231,0.831648053,0.168351947,0.002037428
Alabama,CLEBURNE,12730,12072,587,38,658,0.948311076,0.051688924,0.002985075
Alabama,COFFEE,40240,32396,6903,471,7844,0.805069583,0.194930417,0.011704771
Alabama,COLBERT,51666,42701,8545,187,8965,0.826481632,0.173518368,0.003619402
Alabama,CONECUH,14054,8026,5888,82,6028,0.571082966,0.428917034,0.005834638
Alabama,COOSA,11063,7230,3776,18,3833,0.653529784,0.346470216,0.001627045
Alabama,COVINGTON,36478,31460,4770,130,5018,0.862437634,0.137562366,0.003563792
Alabama,CRENSHAW,13635,10027,3542,30,3608,0.735386872,0.264613128,0.00220022
Alabama,CULLMAN,67613,66540,559,272,1073,0.984130271,0.015869729,0.004022895
Alabama,DALE,49633,38690,8767,1215,10943,0.779521689,0.220478311,0.024479681
Alabama,DALLAS,48130,20054,27768,131,28076,0.416663204,0.583336796,0.002721795
Alabama,DEKALB,54651,52854,1023,215,1797,0.967118625,0.032881375,0.003934054
Alabama,ELMORE,49210,37687,10995,270,11523,0.765840276,0.234159724,0.00548669
Alabama,ESCAMBIA,35518,24227,10015,169,11291,0.682104848,0.317895152,0.004758151
Alabama,ETOWAH,99840,85078,13782,331,14762,0.852143429,0.147856571,0.003315304
Alabama,FAYETTE,17962,15666,2190,78,2296,0.872174591,0.127825409,0.004342501
Alabama,FRANKLIN,27814,26375,1247,101,1439,0.948263464,0.051736536,0.003631265
Alabama,GENEVA,23647,20604,2817,121,3043,0.8713156,0.1286844,0.005116928
Alabama,GREENE,10153,1966,8160,24,8187,0.193637349,0.806362651,0.002363833
Alabama,HALE,15498,6241,9172,57,9257,0.402697122,0.597302878,0.003677894
Alabama,HENRY,15374,9878,5368,92,5496,0.642513334,0.357486666,0.005984129
Alabama,HOUSTON,81331,61233,18900,464,20098,0.752886353,0.247113647,0.005705082
Alabama,JACKSON,47796,44531,1957,208,3265,0.931688844,0.068311156,0.004351829
Alabama,JEFFERSON,651525,416458,228191,2745,235067,0.639204942,0.360795058,0.004213192
Alabama,LAMAR,15715,13748,1862,71,1967,0.874832962,0.125167038,0.004517976
Alabama,LAUDERDALE,79661,71310,7677,313,8351,0.895168276,0.104831724,0.00392915
Alabama,LAWRENCE,31513,24483,4790,102,7030,0.776917463,0.223082537,0.003236759
Alabama,LEE,87146,64527,20359,552,22619,0.740447066,0.259552934,0.006334198
Alabama,LIMESTONE,54135,46468,7106,261,7667,0.858372587,0.141627413,0.00482128
Alabama,LOWNDES,12658,3177,9408,60,9481,0.250987518,0.749012482,0.004740085
Alabama,MACON,24928,3429,21290,103,21499,0.137556162,0.862443838,0.0041319
Alabama,MADISON,238912,182334,47826,2984,56578,0.763184771,0.236815229,0.012489954
Alabama,MARENGO,23084,11279,11707,75,11805,0.488606827,0.511393173,0.003249004
Alabama,MARION,29830,28708,965,65,1122,0.962386859,0.037613141,0.002179014
Alabama,MARSHALL,70832,69118,1086,289,1714,0.975801897,0.024198103,0.004080077
Alabama,MOBILE,378643,252660,117509,3164,125983,0.66727762,0.33272238,0.008356156
Alabama,MONROE,23968,14251,9354,94,9717,0.594584446,0.405415554,0.003921896
Alabama,MONTGOMERY,209085,118480,87050,1624,90605,0.566659493,0.433340507,0.007767176
Alabama,MORGAN,100043,88726,10042,584,11317,0.886878642,0.113121358,0.00583749
Alabama,PERRY,12759,4496,8196,36,8263,0.352378713,0.647621287,0.002821538
Alabama,PICKENS,20699,11973,8625,50,8726,0.578433741,0.421566259,0.002415576
Alabama,PIKE,27595,17760,9513,108,9835,0.643594854,0.356405146,0.003913752
Alabama,RANDOLPH,19881,15104,4672,53,4777,0.759720336,0.240279664,0.002665862
Alabama,RUSSELL,46860,28311,18041,301,18549,0.604161332,0.395838668,0.006423389
Alabama,ST. CLAIR,50009,45038,4545,209,4971,0.900597892,0.099402108,0.004179248
Alabama,SHELBY,99358,90292,7698,525,9066,0.908754202,0.091245798,0.005283923
Alabama,SUMTER,16174,4745,11313,78,11429,0.293372079,0.706627921,0.004822555
Alabama,TALLADEGA,74107,50696,22620,490,23411,0.684091921,0.315908079,0.006612061
Alabama,TALLAPOOSA,38826,28461,10187,71,10365,0.733039716,0.266960284,0.001828672
Alabama,TUSCALOOSA,150522,108801,39272,948,41721,0.72282457,0.27717543,0.006298083
Alabama,WALKER,67670,62863,4397,224,4807,0.92896409,0.07103591,0.003310182
Alabama,WASHINGTON,16694,10958,4612,51,5736,0.656403498,0.343596502,0.00305499
Alabama,WILCOX,13568,4185,9332,40,9383,0.308446344,0.691553656,0.002948113
Alabama,WINSTON,22053,21871,57,59,182,0.991747155,0.008252845,0.002675373
Alaska,ALEUTIANS EAST BOROUGH,2464,801,15,180,1663,0.325081169,0.674918831,0.073051948
Alaska,ALEUTIANS WEST CENSUS AREA,9478,6130,635,742,3348,0.64676092,0.35323908,0.078286558
Alaska,ANCHORAGE BOROUGH,226338,178168,14126,9258,48170,0.7871767,0.2128233,0.040903428
Alaska,BETHEL CENSUS AREA,13656,2074,62,80,11582,0.151874634,0.848125366,0.005858231
Alaska,BRISTOL BAY BOROUGH,1410,881,38,33,529,0.624822695,0.375177305,0.023404255
Alaska,DILLINGHAM CENSUS AREA,4012,1007,8,49,3005,0.250997009,0.749002991,0.01221336
Alaska,FAIRBANKS NORTH STAR BOROUGH,77720,62201,5395,2899,15519,0.800321668,0.199678332,0.037300566
Alaska,HAINES BOROUGH,2117,1793,1,27,324,0.846953236,0.153046764,0.012753897
