"Office","State","CensusPop","raceYear","Area","AreaNumber","RedistrictedDate","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes"
"House","Hawaii","N/A","2014","District 1","1","20120101","86,454","Djou, Charles","Challenger","93,390","Takai, Mark","Challenger","N/A","N/A","N/A","N/A","N/A","6,936","D",".00","48.07","51.93",""
"House","Hawaii","N/A","2012","District 1","1","20120101","96,824","Djou, Charles","Challenger","116,505","Hanabusa, Colleen","Incumbent","N/A","N/A","N/A","N/A","N/A","19,681","D",".00","45.39","54.61",""
"House","Hawaii","N/A","2014","District 2","2","20120101","33,630","Crowley, Kawika","Challenger","142,010","Gabbard, Tulsi","Incumbent","Libertarian","4,693","Kent, Joe","Challenger","N/A","108,380","D","2.60","19.15","80.85",""
"House","Hawaii","N/A","2012","District 2","2","20120101","40,707","Crowley, Kawika","Challenger","168,503","Gabbard, Tulsi","Challenger","N/A","N/A","N/A","N/A","N/A","127,796","D",".00","19.46","80.54",""
"House","Idaho","N/A","2014","District 1","1","20120101","143,580","Labrador, Raul R.","Incumbent","77,277","Ringo, Shirley G.","Challenger","Write-in","7","McCandless, Reed C.","Challenger","N/A","66,303","R",".00","65.01","34.99",""
"House","Idaho","N/A","2012","District 1","1","20120101","199,402","Labrador, Raul R.","Incumbent","97,450","Farris, Jimmy","Challenger","Libertarian","12,265","Oates, Rob","Challenger","7,607","101,952","R","3.87","67.17","32.83","The other vote was: Pro-Life (Independent) 7,607"
"House","Idaho","N/A","2014","District 2","2","20120101","131,492","Simpson, Michael K.","Incumbent","82,801","Stallings, Richard","Challenger","N/A","N/A","N/A","N/A","N/A","48,691","R",".00","61.36","38.64",""
"House","Idaho","N/A","2012","District 2","2","20120101","207,412","Simpson, Mike","Incumbent","110,847","LeFavour, Nicole","Challenger","Write-in","235","Chappell, Jack Wayne","Challenger","N/A","96,565","R",".07","65.17","34.83",""
"House","Illinois","N/A","2014","District 1","1","20120101","59,749","Tillman, Jimmy Lee II","Challenger","162,268","Rush, Bobby L.","Incumbent","N/A","N/A","N/A","N/A","N/A","102,519","D",".00","26.91","73.09",""
"House","Illinois","N/A","2012","District 1","1","20120101","83,989","Peloquin, Donald E.","Challenger","236,854","Rush, Bobby L.","Incumbent","Write-in","1","Hawkins, John","Challenger","N/A","152,865","D",".00","26.18","73.82",""
